month,state,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023
Apr,Alabama,9.83,7.33,9.83,7.72,9.83,10.44,10.33,10.0,7.89,10.56
Apr,Alaska,-7.89,-7.33,-8.56,-5.72,-5.06,-7.44,-9.72,-13.89,-7.39,-13.72
Apr,Arizona,5.33,3.28,5.83,6.06,3.56,4.78,5.39,6.67,8.28,5.56
Apr,Arkansas,10.22,6.72,8.06,7.78,8.72,9.5,8.56,8.17,6.11,9.33
Apr,California,5.11,4.06,6.11,6.17,4.44,4.11,4.61,7.06,6.83,5.67
Apr,Colorado,-0.44,-3.78,-1.56,-1.56,-2.44,-0.33,-3.39,-3.33,-1.44,-2.89
Apr,Connecticut,1.11,2.89,2.22,2.78,2.94,1.06,2.83,2.22,0.67,4.17
Apr,Delaware,4.78,5.0,4.78,5.17,6.72,5.44,7.17,6.39,4.89,8.5
Apr,Florida,13.78,12.44,14.06,11.89,14.78,14.39,14.39,15.72,14.61,16.89
Apr,Georgia,9.94,7.72,10.06,7.44,10.44,10.44,10.17,10.33,8.56,10.78
Apr,Idaho,-0.28,-2.89,-0.33,-1.28,-1.28,-1.11,-4.67,-2.06,-0.61,-2.83
Apr,Illinois,5.39,3.28,3.89,4.0,5.83,5.33,4.94,4.06,0.72,4.56
Apr,Indiana,4.39,3.17,3.39,3.94,5.33,5.17,4.94,4.11,1.06,4.33
Apr,Iowa,3.39,0.94,1.56,1.61,4.22,3.61,2.11,0.61,-2.22,2.44
Apr,Kansas,6.28,2.33,3.56,3.78,4.22,6.0,3.17,2.11,0.61,3.78
Apr,Kentucky,6.89,4.5,5.06,5.17,6.22,7.5,6.33,6.0,3.67,6.22
Apr,Louisiana,12.94,10.17,12.33,10.67,11.67,12.89,13.0,12.11,10.44,13.5
Apr,Maine,-2.72,0.17,-0.72,-1.44,-0.83,-4.11,-1.11,-2.11,-2.94,-0.44
Apr,Maryland,4.56,4.83,4.78,4.83,6.39,5.39,7.17,6.11,4.44,7.5
Apr,Massachusetts,0.44,2.44,1.94,1.94,2.17,0.5,2.0,1.61,0.22,3.78
Apr,Michigan,-1.39,-0.94,-0.28,-0.83,1.0,-1.33,1.17,-1.11,-3.83,1.17
Apr,Minnesota,-0.67,-1.67,-1.67,-1.5,1.28,-0.5,-1.67,-4.0,-5.72,-2.0
Apr,Mississippi,10.83,8.28,10.44,8.61,10.28,11.06,10.5,10.11,7.78,11.28
Apr,Missouri,7.44,3.83,4.89,5.0,6.17,7.17,5.17,4.83,2.28,5.94
Apr,Montana,-0.22,-3.39,-1.22,-1.11,-0.5,0.06,-4.39,-3.78,-3.44,-2.56
Apr,Nebraska,3.0,-0.33,0.44,1.33,1.56,3.33,-0.22,-1.28,-2.11,0.44
Apr,Nevada,1.0,-0.72,1.78,1.28,-0.22,0.22,-0.83,1.28,2.28,0.33
Apr,New Hampshire,-2.33,0.28,-0.22,-0.5,-0.39,-2.61,-0.67,-1.17,-2.17,1.0
Apr,New Jersey,3.17,4.17,3.56,4.11,5.0,3.56,5.39,4.61,2.83,6.39
Apr,New Mexico,2.72,-0.44,1.44,2.06,0.17,2.22,1.0,2.0,3.22,1.56
Apr,New York,-1.33,0.56,0.78,1.0,1.28,-0.83,1.94,0.22,-2.06,2.11
Apr,North Carolina,7.78,5.89,6.72,5.94,8.28,7.94,8.72,8.33,6.28,8.67
Apr,North Dakota,-0.17,-2.67,-2.33,-1.56,1.0,0.0,-3.28,-5.94,-5.78,-4.0
Apr,Ohio,3.22,3.06,2.89,3.5,4.22,4.44,5.0,3.67,1.28,4.22
Apr,Oklahoma,9.78,5.39,6.72,6.72,6.72,8.39,6.94,5.72,4.33,7.28
Apr,Oregon,0.94,-0.39,1.61,1.06,0.61,0.06,-2.0,0.44,1.0,-0.11
Apr,Pennsylvania,1.06,2.17,1.89,2.17,3.06,2.17,3.67,2.67,0.39,3.56
Apr,Rhode Island,1.78,3.39,2.83,3.33,3.56,1.5,3.56,2.89,1.56,5.06
Apr,South Carolina,9.78,7.22,8.94,7.11,10.28,10.0,9.78,10.11,8.33,10.33
Apr,South Dakota,1.22,-1.83,-0.89,0.06,1.11,1.78,-1.89,-3.61,-4.06,-1.89
Apr,Tennessee,7.89,4.72,6.33,5.89,7.61,8.5,7.44,7.11,4.89,7.44
Apr,Texas,12.33,8.44,9.44,9.67,9.28,11.61,10.5,9.39,9.0,10.78
Apr,Utah,1.39,-1.33,1.22,0.39,-0.33,0.61,-1.83,0.0,1.67,-0.61
Apr,Vermont,-2.94,-0.39,-0.22,-0.61,-0.78,-2.67,-0.11,-1.39,-2.72,0.72
Apr,Virginia,5.5,4.78,4.89,4.67,6.28,6.11,7.11,6.44,4.44,6.89
Apr,Washington,2.0,0.83,2.5,2.28,1.56,1.83,-0.94,1.5,2.06,0.94
Apr,West Virginia,4.0,3.22,3.28,3.0,4.11,5.0,5.61,4.22,2.0,3.94
Apr,Wisconsin,-0.67,-1.17,-0.5,-1.33,1.67,-0.89,0.33,-1.78,-5.44,0.39
Apr,Wyoming,-1.56,-4.72,-2.44,-2.94,-2.89,-1.22,-5.72,-5.44,-3.22,-4.56
Aug,Alabama,20.22,20.67,20.83,20.72,20.39,21.06,20.22,20.33,20.78,21.61
Aug,Alaska,6.11,4.94,5.89,6.17,5.11,5.89,4.56,6.5,6.44,8.0
Aug,Arizona,17.0,17.94,18.17,17.83,19.22,19.33,18.94,18.56,19.22,19.5
Aug,Arkansas,19.61,21.11,20.67,21.28,20.89,21.17,20.0,20.0,20.44,21.44
Aug,California,15.06,15.89,15.39,14.72,16.5,16.0,16.44,15.44,16.56,16.61
Aug,Colorado,9.22,12.5,11.28,10.22,11.0,11.94,11.06,11.61,10.72,11.78
Aug,Connecticut,16.0,15.22,16.72,15.72,15.89,17.22,13.78,14.72,18.5,15.72
Aug,Delaware,19.89,18.22,19.94,18.44,18.11,19.67,16.72,18.0,20.78,19.22
Aug,Florida,21.94,22.5,22.39,22.17,22.89,22.61,22.89,23.06,22.94,24.17
Aug,Georgia,20.22,20.72,20.83,20.5,20.17,21.11,20.72,20.67,20.89,21.56
Aug,Idaho,7.78,11.44,8.11,7.33,10.17,10.89,9.17,10.78,9.5,10.89
Aug,Illinois,16.56,19.11,18.89,18.33,18.17,17.78,16.0,16.56,18.11,17.39
Aug,Indiana,16.28,18.39,18.06,17.28,17.39,17.33,15.33,15.78,17.94,16.33
Aug,Iowa,15.17,18.72,17.33,16.78,17.44,16.61,14.67,15.78,16.22,16.39
Aug,Kansas,17.28,20.78,18.72,18.44,18.61,19.28,17.89,18.56,17.83,18.44
Aug,Kentucky,18.11,19.17,18.72,18.11,17.72,18.67,16.56,17.72,19.0,18.17
Aug,Louisiana,21.61,22.61,22.33,22.78,22.89,22.72,22.33,22.22,22.28,24.44
Aug,Maine,10.78,11.94,13.17,12.06,11.44,13.56,12.0,11.5,14.11,12.33
Aug,Maryland,19.33,18.0,19.28,18.06,17.78,19.5,16.44,17.33,20.0,18.5
Aug,Massachusetts,15.22,14.67,16.22,14.78,15.22,16.78,13.78,14.0,17.94,15.0
Aug,Michigan,12.83,14.72,14.83,14.11,14.17,14.0,12.22,12.78,15.11,12.72
Aug,Minnesota,12.89,15.56,14.17,13.5,14.17,14.39,12.44,13.11,13.56,13.56
Aug,Mississippi,20.61,21.56,21.28,21.56,21.28,21.44,20.5,20.72,21.06,22.61
Aug,Missouri,17.56,20.17,19.11,19.33,19.06,19.33,17.39,17.94,18.78,19.06
Aug,Montana,8.39,12.39,9.06,8.17,11.33,12.28,9.72,11.22,9.5,11.39
Aug,Nebraska,14.06,18.28,15.39,15.17,16.17,16.44,15.0,16.61,14.61,15.94
Aug,Nevada,11.44,13.67,12.89,11.5,13.56,14.0,13.67,13.17,13.94,13.61
Aug,New Hampshire,12.17,12.17,13.56,12.67,12.39,14.22,11.78,11.72,15.11,12.5
Aug,New Jersey,18.5,17.22,18.33,17.17,17.28,18.78,15.33,16.61,19.83,17.5
Aug,New Mexico,12.89,14.61,14.5,14.11,14.11,15.06,14.11,14.72,14.78,15.94
Aug,New York,13.83,13.78,14.44,13.72,14.0,15.0,12.33,12.83,16.22,13.44
Aug,North Carolina,19.28,18.94,20.06,18.72,18.67,20.22,18.33,18.67,19.89,19.56
Aug,North Dakota,11.33,14.94,12.39,11.67,14.11,14.39,12.67,13.11,11.78,13.06
Aug,Ohio,16.11,17.0,17.22,16.22,16.33,16.94,14.78,15.39,17.89,15.72
Aug,Oklahoma,20.0,21.72,20.72,20.94,20.78,21.11,20.22,20.5,20.44,21.39
Aug,Oregon,9.67,11.0,8.61,8.61,10.44,10.39,9.78,10.67,10.39,11.83
Aug,Pennsylvania,15.67,15.06,15.61,14.72,14.78,16.0,12.67,13.78,17.11,14.78
Aug,Rhode Island,16.61,16.17,17.72,16.22,16.5,18.06,14.78,15.28,19.17,16.33
Aug,South Carolina,20.61,20.56,21.22,20.39,20.17,21.5,20.61,20.44,21.17,21.5
Aug,South Dakota,13.22,17.11,14.28,13.28,15.33,15.78,14.39,15.22,13.56,14.78
Aug,Tennessee,18.61,19.39,19.22,18.83,18.5,19.44,17.56,18.56,19.17,19.0
Aug,Texas,20.67,21.39,21.17,21.39,21.44,21.44,21.0,21.56,21.72,23.22
Aug,Utah,11.61,14.33,12.94,11.94,13.94,14.72,13.72,14.06,14.39,14.06
Aug,Vermont,11.89,11.94,13.17,12.44,12.17,14.11,11.44,11.67,14.67,12.22
Aug,Virginia,18.33,17.56,18.39,17.33,17.22,19.0,16.06,17.0,18.67,17.83
Aug,Washington,10.5,11.28,9.83,10.11,11.39,10.89,10.72,12.06,11.5,12.56
Aug,West Virginia,16.78,16.17,16.56,15.78,15.39,17.06,14.06,15.22,17.06,15.72
Aug,Wisconsin,13.06,15.33,15.17,14.17,14.39,14.39,12.11,13.06,14.33,13.44
Aug,Wyoming,7.44,12.06,8.78,7.44,10.0,11.5,9.11,10.72,8.94,10.28
Dec,Alabama,1.11,-0.22,1.33,1.61,5.56,-0.22,3.94,3.11,4.44,
Dec,Alaska,-15.89,-15.22,-16.0,-14.39,-19.33,-18.89,-18.11,-17.39,-16.0,
Dec,Arizona,-3.0,0.61,-2.22,-2.11,-1.39,-1.28,-0.67,-1.72,-0.67,
Dec,Arkansas,-1.0,-5.39,-0.39,0.22,1.44,-0.06,-1.17,-0.78,2.0,
Dec,California,-1.67,3.11,0.17,0.44,-0.5,1.78,0.22,0.0,2.06,
Dec,Colorado,-14.11,-12.72,-10.94,-9.89,-10.33,-9.06,-10.44,-11.78,-10.0,
Dec,Connecticut,-5.67,-6.61,-6.94,-5.61,-2.89,-4.56,-4.83,-5.17,-3.44,
Dec,Delaware,-1.89,-3.11,-2.94,-2.28,0.22,-1.72,-0.61,-0.33,0.61,
Dec,Florida,10.61,9.0,8.28,6.78,12.33,6.56,10.44,12.5,11.11,
Dec,Georgia,2.22,0.83,1.11,1.44,5.94,-0.22,4.83,4.83,4.94,
Dec,Idaho,-12.78,-12.11,-9.83,-8.17,-9.44,-6.06,-9.89,-10.89,-8.56,
Dec,Illinois,-6.0,-12.06,-6.11,-3.89,-3.28,-3.22,-8.33,-8.11,-3.0,
Dec,Indiana,-4.67,-10.28,-6.06,-3.89,-2.5,-3.11,-6.78,-6.06,-2.28,
Dec,Iowa,-11.72,-17.83,-9.28,-7.94,-7.11,-6.33,-13.56,-13.28,-6.39,
Dec,Kansas,-7.89,-13.67,-5.39,-4.44,-5.22,-4.44,-8.0,-8.44,-4.89,
Dec,Kentucky,-2.61,-6.17,-3.33,-2.0,-0.33,-2.11,-3.11,-2.06,0.17,
Dec,Louisiana,3.94,1.44,4.39,4.44,7.0,2.94,5.33,4.39,6.56,
Dec,Maine,-12.56,-12.44,-13.72,-9.89,-8.28,-9.83,-12.06,-12.61,-11.56,
Dec,Maryland,-2.33,-4.0,-3.44,-3.0,0.06,-2.17,-1.5,-1.17,-0.56,
Dec,Massachusetts,-6.56,-7.33,-7.83,-5.94,-3.33,-5.11,-5.28,-6.06,-4.5,
Dec,Michigan,-9.5,-12.89,-9.0,-7.44,-6.0,-5.67,-10.5,-11.0,-5.11,
Dec,Minnesota,-19.06,-23.28,-15.11,-13.17,-12.17,-10.72,-19.67,-20.17,-10.78,
Dec,Mississippi,1.11,-0.5,1.72,2.0,4.94,0.44,3.11,2.56,4.33,
Dec,Missouri,-5.22,-11.89,-4.72,-3.17,-3.06,-2.39,-6.56,-6.5,-2.22,
Dec,Montana,-15.89,-21.17,-10.22,-7.89,-11.06,-8.94,-15.5,-14.11,-8.83,
Dec,Nebraska,-13.06,-18.33,-8.0,-6.78,-8.89,-6.5,-12.5,-12.0,-7.67,
Dec,Nevada,-9.17,-3.72,-7.78,-6.67,-7.44,-4.61,-7.61,-8.94,-5.39,
Dec,New Hampshire,-11.11,-11.17,-12.28,-9.11,-6.67,-9.56,-9.61,-10.0,-9.06,
Dec,New Jersey,-3.28,-4.61,-4.78,-3.67,-0.83,-2.83,-2.56,-2.5,-1.17,
Dec,New Mexico,-7.22,-6.44,-7.11,-6.5,-5.22,-5.78,-5.0,-6.11,-5.0,
Dec,New York,-7.94,-9.72,-9.28,-8.5,-4.61,-7.0,-7.78,-8.06,-6.0,
Dec,North Carolina,-0.56,-1.67,-1.94,-1.33,2.72,-1.72,2.11,1.33,2.06,
Dec,North Dakota,-19.33,-23.94,-14.5,-13.61,-13.11,-11.39,-20.33,-20.11,-10.83,
Dec,Ohio,-4.61,-8.33,-5.89,-4.11,-2.17,-3.28,-5.44,-4.11,-2.22,
Dec,Oklahoma,-4.22,-8.72,-1.89,-1.17,-1.22,-1.06,-3.39,-4.61,-1.06,
Dec,Oregon,-7.33,-5.39,-4.61,-3.22,-5.22,-2.11,-5.44,-6.5,-3.78,
Dec,Pennsylvania,-5.67,-7.56,-6.5,-5.89,-2.94,-4.94,-5.33,-5.0,-2.89,
Dec,Rhode Island,-4.5,-5.33,-5.61,-4.33,-1.94,-3.17,-3.39,-3.94,-2.78,
Dec,South Carolina,1.5,0.5,0.0,0.5,4.94,-1.0,4.5,3.83,4.0,
Dec,South Dakota,-15.5,-21.61,-10.78,-9.72,-10.22,-7.94,-15.83,-16.17,-9.11,
Dec,Tennessee,-2.17,-4.44,-2.11,-0.89,1.11,-1.78,-1.0,-0.56,1.39,
Dec,Texas,0.61,-2.83,2.0,2.83,2.61,1.56,1.28,0.5,3.0,
Dec,Utah,-11.56,-7.0,-9.5,-8.33,-9.06,-6.28,-8.61,-10.83,-7.83,
Dec,Vermont,-11.17,-12.17,-12.78,-10.33,-7.0,-10.78,-10.33,-10.28,-10.0,
Dec,Virginia,-2.33,-3.89,-3.67,-3.06,0.11,-2.83,-0.94,-0.94,-0.61,
Dec,Washington,-7.33,-8.28,-3.5,-2.33,-4.11,-3.0,-6.56,-5.67,-2.39,
Dec,West Virginia,-4.33,-6.06,-5.33,-3.72,-2.11,-4.17,-3.78,-2.67,-1.94,
Dec,Wisconsin,-14.72,-18.78,-12.5,-9.28,-9.0,-8.5,-16.56,-16.0,-7.39,
Dec,Wyoming,-17.5,-18.17,-11.94,-10.56,-12.0,-9.44,-13.61,-13.67,-11.67,
Feb,Alabama,-2.61,2.67,0.33,1.5,3.72,2.89,2.28,2.89,8.83,7.44
Feb,Alaska,-16.0,-17.33,-17.11,-16.06,-16.0,-11.78,-21.44,-18.22,-14.67,-18.61
Feb,Arizona,0.94,1.0,0.83,1.33,-0.28,1.17,0.06,-1.78,0.61,-1.72
Feb,Arkansas,-5.0,1.17,-1.11,-0.78,2.67,-0.33,0.5,0.78,2.22,3.72
Feb,California,3.22,3.61,1.78,1.94,2.33,1.83,1.5,0.61,1.22,-0.11
Feb,Colorado,-9.89,-7.44,-9.83,-9.72,-7.44,-9.72,-9.44,-10.78,-9.0,-11.0
Feb,Connecticut,-12.33,-6.67,-7.5,-10.61,-2.83,-9.5,-6.11,-5.83,-3.0,-4.61
Feb,Delaware,-9.33,-3.28,-2.94,-5.22,0.72,-4.39,-2.0,-2.28,0.94,0.33
Feb,Florida,4.94,8.67,7.11,8.33,9.72,9.67,10.5,10.17,15.11,13.22
Feb,Georgia,-1.56,2.61,0.94,2.06,4.33,3.17,2.83,3.06,9.39,8.0
Feb,Idaho,-5.39,-5.39,-7.39,-10.5,-6.22,-8.0,-7.5,-7.56,-8.11,-10.06
Feb,Illinois,-13.44,-3.39,-8.61,-7.33,0.67,-7.78,-7.56,-5.67,-5.56,-3.39
Feb,Indiana,-15.33,-4.17,-7.89,-8.06,-0.28,-7.83,-6.39,-5.33,-3.5,-2.56
Feb,Iowa,-16.89,-5.78,-13.17,-11.11,-1.94,-12.44,-13.22,-9.0,-11.56,-9.06
Feb,Kansas,-11.11,-3.44,-7.28,-7.22,-1.06,-6.89,-6.28,-5.78,-7.17,-6.11
Feb,Kentucky,-10.17,-2.22,-4.5,-4.67,1.17,-3.22,-1.94,-3.0,1.5,1.56
Feb,Louisiana,0.06,5.06,4.56,4.83,6.0,5.33,6.11,6.78,10.89,9.22
Feb,Maine,-17.17,-12.78,-14.89,-20.61,-9.94,-16.78,-13.0,-11.5,-11.11,-13.61
Feb,Maryland,-9.06,-3.78,-3.72,-5.56,0.17,-4.89,-2.67,-3.06,0.22,0.17
Feb,Massachusetts,-13.11,-7.39,-8.5,-11.94,-3.72,-10.17,-6.72,-6.17,-4.0,-5.39
Feb,Michigan,-16.89,-7.11,-13.67,-13.22,-3.89,-14.0,-12.72,-10.61,-9.89,-7.78
Feb,Minnesota,-20.61,-10.11,-20.17,-16.78,-5.39,-18.5,-18.56,-16.0,-19.5,-16.22
Feb,Mississippi,-2.78,3.06,1.17,1.83,4.28,2.83,3.28,3.61,8.28,7.33
Feb,Missouri,-10.78,-2.44,-7.33,-6.06,0.61,-5.67,-5.44,-3.94,-4.0,-2.06
Feb,Montana,-13.78,-6.06,-10.72,-15.56,-6.44,-11.44,-10.33,-7.72,-17.67,-10.56
Feb,Nebraska,-14.56,-5.33,-10.33,-12.33,-3.22,-10.22,-9.67,-8.0,-12.11,-9.11
Feb,Nevada,-3.17,-2.78,-4.94,-6.0,-3.78,-5.06,-4.78,-5.89,-6.11,-6.67
Feb,New Hampshire,-17.33,-11.17,-12.94,-18.11,-8.0,-14.5,-10.78,-9.5,-8.5,-10.06
Feb,New Jersey,-10.83,-4.94,-5.0,-7.22,-0.67,-6.72,-3.56,-3.89,-0.94,-1.78
Feb,New Mexico,-4.89,-3.89,-4.44,-3.44,-3.94,-3.5,-4.22,-6.0,-3.28,-5.06
Feb,New York,-16.39,-9.17,-11.39,-15.89,-5.83,-12.83,-9.56,-9.11,-6.72,-7.89
Feb,North Carolina,-4.94,-0.78,-1.44,-1.61,2.33,-0.17,1.17,-0.39,5.22,4.72
Feb,North Dakota,-19.89,-9.61,-17.61,-17.78,-6.0,-18.94,-18.44,-13.44,-20.78,-15.56
Feb,Ohio,-15.0,-4.5,-7.33,-8.06,-0.33,-7.89,-6.61,-5.78,-2.44,-2.39
Feb,Oklahoma,-6.44,-0.17,-3.06,-2.22,1.39,-2.5,-2.0,-1.61,-1.89,-0.5
Feb,Oregon,-0.94,-0.11,-3.06,-6.17,-1.67,-3.5,-3.0,-3.22,-4.39,-5.11
Feb,Pennsylvania,-13.89,-6.44,-8.0,-10.17,-2.22,-9.0,-7.22,-6.78,-3.89,-4.0
Feb,Rhode Island,-11.11,-5.33,-5.89,-9.44,-2.11,-8.33,-4.94,-5.0,-1.72,-4.06
Feb,South Carolina,-2.39,1.22,0.39,1.33,4.0,2.0,3.11,1.94,8.33,7.22
Feb,South Dakota,-17.44,-7.0,-14.22,-15.33,-4.17,-13.44,-13.78,-10.17,-17.83,-11.78
Feb,Tennessee,-7.06,-0.67,-3.39,-2.61,2.33,-0.89,-0.11,-0.67,3.83,3.67
Feb,Texas,-0.94,2.78,1.78,3.11,4.11,2.94,3.33,3.56,4.44,4.11
Feb,Utah,-4.94,-4.61,-7.17,-7.22,-5.17,-6.33,-6.78,-8.67,-6.39,-9.06
Feb,Vermont,-19.44,-12.28,-14.0,-19.89,-8.83,-15.89,-11.61,-10.11,-9.22,-11.0
Feb,Virginia,-7.94,-3.33,-3.78,-4.28,0.39,-2.94,-1.33,-2.67,1.72,1.83
Feb,Washington,-1.0,-0.11,-2.44,-5.5,-0.39,-2.67,-2.28,-2.0,-3.89,-3.78
